,rank,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,weight
46,47,62219,Dominant Species,2,6,180.0,120,240,2010.0,7.84941,7.66724,13863,14.0,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Player Powers, Worker Placement",14406,"Animals, Environmental, Prehistoric",Chad Jensen,4.0345
47,48,157354,Five Tribes,2,4,60.0,40,80,2014.0,7.80606,7.66228,20791,13.0,"Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection, Variable Phase Order",27209,"Arabian, Fantasy, Mythology",Bruno Cathala,2.8966
48,49,93,El Grande,2,5,90.0,60,120,1995.0,7.79257,7.65678,19489,12.0,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",18802,Renaissance,"Wolfgang Kramer, Richard Ulrich",3.08
49,50,163412,Patchwork,2,2,22.5,15,30,2014.0,7.77702,7.6546,24637,8.0,"Tile Placement, Time Track",36532,"Abstract Strategy, Puzzle",Uwe Rosenberg,1.7135
50,51,132531,Roll for the Galaxy,2,5,45.0,45,45,2014.0,7.80183,7.64919,17399,13.0,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",22413,"Civilization, Dice, Economic, Science Fiction, Space Exploration","Wei-Hwa Huang, Thomas Lehmann",2.7585
52,53,40834,Dominion: Intrigue,2,4,30.0,30,30,2009.0,7.77386,7.64613,24730,13.0,"Card Drafting, Deck / Pool Building, Hand Management",35269,"Card Game, Medieval",Donald X. Vaccarino,2.441
53,54,201808,Clank!: A Deck-Building Adventure,1,4,45.0,30,60,2016.0,7.94548,7.63635,9294,12.0,"Card Drafting, Deck / Pool Building, Player Elimination, Point to Point Movement, Press Your Luck",13068,"Adventure, Fantasy",Paul Dennen,2.2338
54,55,150376,Dead of Winter: A Crossroads Game,2,5,127.5,45,210,2014.0,7.77802,7.63439,27015,14.0,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Press Your Luck, Storytelling, Trading, Variable Player Powers, Voting",37363,"Bluffing, Deduction, Horror, Zombies","Jonathan Gilmour, Isaac Vega",3.0026
55,56,103885,Star Wars: X-Wing Miniatures Game,2,2,37.5,30,45,2012.0,7.84235,7.63079,18594,14.0,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection, Variable Player Powers",31598,"Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Jason Little,2.4723
56,57,37111,Battlestar Galactica: The Board Game,3,6,210.0,120,300,2008.0,7.75995,7.61932,27170,10.0,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Partnerships, Role Playing, Variable Player Powers",30247,"Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents",Corey Konieczka,3.2296
58,59,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,90.0,60,120,1981.0,7.8319,7.59583,10699,10.0,"Co-operative Play, Storytelling",21417,"Deduction, Murder/Mystery, Novel-based, Post-Napoleonic, Spies/Secret Agents","Raymond Edwards, Suzanne Goldberg, Gary Grady",2.7692
59,60,172386,Mombasa,2,4,112.5,75,150,2015.0,7.95735,7.59141,6443,12.0,"Action / Movement Programming, Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",8333,Economic,Alexander Pfister,3.8727
60,61,144733,Russian Railroads,2,4,105.0,90,120,2013.0,7.80812,7.58293,10226,12.0,Worker Placement,11015,"Industry / Manufacturing, Trains","Helmut Ohley, Leonhard ""Lonny"" Orgler",3.4123
61,62,102680,Trajan,2,4,90.0,60,120,2011.0,7.80504,7.5815,10839,12.0,"Area Movement, Card Drafting, Hand Management, Set Collection",12830,"Ancient, Political",Stefan Feld,3.6763
62,63,73439,Troyes,2,4,90.0,90,90,2010.0,7.76474,7.58133,12664,12.0,"Area Control / Area Influence, Dice Rolling, Worker Placement",13661,"Dice, Economic, Medieval","Sébastien Dujardin, Xavier Georges, Alain Orban",3.463
63,64,36218,Dominion,2,4,30.0,30,30,2008.0,7.67674,7.58104,60842,13.0,"Card Drafting, Deck / Pool Building, Hand Management",78903,"Card Game, Medieval",Donald X. Vaccarino,2.3714
64,65,42,Tigris & Euphrates,2,4,90.0,90,90,1997.0,7.71475,7.57883,21328,12.0,"Area Control / Area Influence, Hand Management, Set Collection, Tile Placement",23596,"Abstract Strategy, Ancient, Civilization, Territory Building",Reiner Knizia,3.5283
65,66,30549,Pandemic,2,4,45.0,45,45,2008.0,7.6615,7.56992,70501,8.0,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",102218,Medical,Matt Leacock,2.4277
67,68,194655,Santorini,2,4,20.0,20,20,2016.0,7.86862,7.56751,8718,8.0,"Grid Movement, Tile Placement, Variable Player Powers",14264,"Abstract Strategy, Ancient, Mythology",Gord!,1.7654
69,70,521,Crokinole,2,4,30.0,30,30,1876.0,7.79399,7.55086,8399,8.0,Partnerships,6170,Action / Dexterity,(Uncredited),1.2827
70,71,104162,Descent: Journeys in the Dark (Second Edition),2,5,120.0,120,120,2012.0,7.77145,7.54258,16512,14.0,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management, Modular Board, Partnerships, Variable Player Powers",26375,"Adventure, Exploration, Fantasy, Fighting, Miniatures","Daniel Clark (I), Corey Konieczka, Adam Sadler, Kevin Wilson",3.2077
71,72,127023,Kemet,2,5,105.0,90,120,2012.0,7.76789,7.53311,10713,13.0,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Variable Phase Order",12603,"Ancient, Fighting, Miniatures, Mythology","Jacques Bariot, Guillaume Montiage",2.988
72,73,155426,Castles of Mad King Ludwig,1,4,90.0,90,90,2014.0,7.68744,7.53002,15699,13.0,"Card Drafting, Pattern Building, Set Collection, Tile Placement",20792,Post-Napoleonic,Ted Alspach,2.6731
73,74,9609,War of the Ring (first edition),2,4,120.0,120,120,2004.0,7.79964,7.52505,9133,12.0,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",11712,"Adventure, Dice, Fantasy, Miniatures, Novel-based, Territory Building, Wargame","Roberto Di Meglio, Marco Maggi, Francesco Nepitello",3.8403
74,75,34635,Stone Age,2,4,75.0,60,90,2008.0,7.62311,7.52487,33431,10.0,"Dice Rolling, Set Collection, Worker Placement",35411,"Dice, Prehistoric",Bernd Brunnhofer,2.5023
75,76,161970,Alchemists,2,4,120.0,120,120,2014.0,7.73627,7.51564,11792,13.0,"Action Point Allowance System, Card Drafting, Hand Management, Worker Placement",15694,"Deduction, Fantasy",Matú? Kotry,3.8132
77,78,128882,The Resistance: Avalon,5,10,30.0,30,30,2012.0,7.68066,7.51258,18531,13.0,"Memory, Partnerships, Simultaneous Action Selection, Variable Player Powers, Voting",26138,"Bluffing, Card Game, Deduction, Fantasy, Medieval, Negotiation, Party Game, Spies/Secret Agents",Don Eskridge,1.7832
78,79,103343,A Game of Thrones: The Board Game (Second Edition),3,6,180.0,120,240,2011.0,7.70907,7.51204,20279,14.0,"Area Control / Area Influence, Area Movement, Auction/Bidding, Hand Management, Player Elimination, Simultaneous Action Selection, Variable Player Powers",26338,"Bluffing, Fantasy, Negotiation, Novel-based, Political, Wargame",Christian T. Petersen,3.6627
80,81,155068,Arcadia Quest,2,4,60.0,60,60,2014.0,7.92246,7.50315,6190,13.0,"Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",10304,"Adventure, Fantasy, Fighting, Miniatures","Thiago Aranha, Guilherme Goulart, Eric M. Lang, Fred Perret",2.5357
81,82,146652,Legendary Encounters: An Alien Deck Building Game,1,5,45.0,45,45,2014.0,7.8331,7.5009,7605,17.0,"Card Drafting, Co-operative Play, Deck / Pool Building, Partnerships, Player Elimination, Variable Player Powers",11214,"Card Game, Fighting, Horror, Movies / TV / Radio theme, Science Fiction","Ben Cichoski, Daniel Mandel",2.7232
82,83,147020,Star Realms,2,2,20.0,20,20,2014.0,7.63582,7.49436,22548,12.0,"Card Drafting, Deck / Pool Building, Hand Management, Take That",34128,"Card Game, Fighting, Science Fiction","Robert Dougherty, Darwin Kastle",1.975
83,84,70149,Ora et Labora,1,4,120.0,60,180,2011.0,7.76079,7.49184,8054,13.0,"Modular Board, Pattern Building, Set Collection, Tile Placement, Worker Placement",10087,"City Building, Economic, Industry / Manufacturing, Medieval, Religious, Territory Building",Uwe Rosenberg,3.8899
84,85,123260,Suburbia,1,4,90.0,90,90,2012.0,7.61132,7.47496,16565,8.0,"Card Drafting, Set Collection, Tile Placement",20034,"City Building, Economic",Ted Alspach,2.78
85,86,126042,Nations,1,5,120.0,40,200,2013.0,7.72008,7.47395,9023,14.0,"Card Drafting, Variable Player Powers",9949,"Card Game, Civilization, Economic","Rustan Håkansson, Nina Håkansson, Einar Rosén, Robert Rosén",3.5429
86,87,14996,Ticket to Ride: Europe,2,5,45.0,30,60,2005.0,7.58316,7.472,40020,8.0,"Card Drafting, Hand Management, Route/Network Building, Set Collection",52159,"Trains, Travel",Alan R. Moon,1.9606
87,88,43111,Chaos in the Old World,3,4,90.0,60,120,2009.0,7.68415,7.47011,12070,13.0,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Role Playing, Take That, Variable Player Powers",12973,"Fantasy, Fighting, Horror, Mythology, Wargame",Eric M. Lang,3.1753
88,89,14105,Commands & Colors: Ancients,2,2,60.0,60,60,2006.0,7.78698,7.46889,7077,12.0,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter, Modular Board",9036,"Ancient, Wargame",Richard Borg,2.6954
89,90,148949,Istanbul,2,5,50.0,40,60,2014.0,7.62994,7.46839,15238,10.0,"Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver",19724,Economic,Rüdiger Dorn,2.5902
90,91,17133,Railways of the World,2,6,120.0,120,120,2005.0,7.69311,7.46523,9750,10.0,"Action Point Allowance System, Auction/Bidding, Card Drafting, Pick-up and Deliver, Route/Network Building, Tile Placement",10131,"Trains, Transportation, Video Game Theme","Glenn Drover, Martin Wallace",3.0268
93,94,171131,Captain Sonar,2,8,52.5,45,60,2016.0,7.75474,7.44242,7583,14.0,"Grid Movement, Line Drawing, Partnerships, Role Playing, Secret Unit Deployment, Simultaneous Action Selection",10572,"Deduction, Fighting, Nautical, Real-time","Roberto Fraga, Yohan Lemonnier",2.0714
95,96,39463,Cosmic Encounter,3,5,90.0,60,120,2008.0,7.58766,7.43726,21100,12.0,"Hand Management, Partnerships, Take That, Variable Player Powers",25570,"Bluffing, Negotiation, Science Fiction, Space Exploration","Bill Eberle, Jack Kittredge, Bill Norton, Peter Olotka, Kevin Wilson",2.5539
96,97,21050,Combat Commander: Europe,2,2,120.0,60,180,2006.0,7.89699,7.42929,4564,12.0,"Campaign / Battle Card Driven, Hex-and-Counter, Simulation, Variable Phase Order",6612,"Wargame, World War II",Chad Jensen,3.2067
97,98,9216,Goa,2,4,90.0,90,90,2004.0,7.62571,7.41663,10001,12.0,"Auction/Bidding, Hand Management, Press Your Luck",9913,"Economic, Farming, Nautical, Renaissance",Rüdiger Dorn,3.383
98,99,77423,The Lord of the Rings: The Card Game,1,2,60.0,60,60,2011.0,7.62885,7.41347,16197,13.0,"Co-operative Play, Hand Management, Variable Player Powers",24907,"Adventure, Card Game, Collectible Components, Fantasy, Novel-based",Nate French,3.1353
99,100,54043,Jaipur,2,2,30.0,30,30,2009.0,7.53554,7.41329,22311,12.0,"Card Drafting, Hand Management, Set Collection",30786,"Animals, Card Game",Sébastien Pauchon,1.527
100,101,146886,La Granja,1,4,105.0,90,120,2014.0,7.76387,7.41164,5687,12.0,"Area Control / Area Influence, Dice Rolling, Hand Management, Simultaneous Action Selection, Variable Player Powers, Worker Placement",7821,"Economic, Farming","Michael Keller (II), Andreas ""ode."" Odendahl",3.5924
101,102,43015,Hansa Teutonica,2,5,67.5,45,90,2009.0,7.63246,7.41061,9126,12.0,"Action Point Allowance System, Area Control / Area Influence, Point to Point Movement, Route/Network Building",9002,Renaissance,Andreas Steding,3.1317
102,103,27833,Steam,3,5,90.0,90,90,2009.0,7.6504,7.41033,8396,10.0,"Auction/Bidding, Pick-up and Deliver, Route/Network Building, Tile Placement",9166,"Economic, Trains, Transportation",Martin Wallace,3.4495
103,104,176189,Zombicide: Black Plague,1,6,120.0,60,180,2015.0,7.86789,7.40954,6824,10.0,"Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers",12646,"Adventure, Fantasy, Fighting, Horror, Medieval, Miniatures, Zombies","Raphaël Guiton, Jean-Baptiste Lullien, Nicolas Raoult",2.5722
104,105,4098,Age of Steam,1,6,120.0,120,120,2002.0,7.69807,7.40703,6980,13.0,"Auction/Bidding, Dice Rolling, Player Elimination, Route/Network Building, Tile Placement",6517,"Economic, Trains, Transportation",Martin Wallace,3.9288
105,106,230802,Azul,2,4,37.5,30,45,2017.0,7.95976,7.40665,4254,8.0,"Pattern Building, Set Collection, Tile Placement",6075,Abstract Strategy,Michael Kiesling,1.8952
106,107,104006,Village,2,4,75.0,60,90,2011.0,7.55613,7.40425,15186,12.0,"Set Collection, Worker Placement",18873,"Farming, Medieval","Inka Brand, Markus Brand",3.0783
107,108,148228,Splendor,2,4,30.0,30,30,2014.0,7.51093,7.40278,35943,10.0,"Card Drafting, Set Collection",48579,"Card Game, Economic, Renaissance",Marc André,1.8348
108,109,555,The Princes of Florence,2,5,87.5,75,100,2000.0,7.57452,7.4015,13510,12.0,"Auction/Bidding, Tile Placement",14309,"City Building, Renaissance","Wolfgang Kramer, Richard Ulrich, Jens Christopher Ulrich",3.2541
109,110,31627,Ticket to Ride: Nordic Countries,2,3,45.0,30,60,2007.0,7.65742,7.39899,8722,8.0,"Card Drafting, Hand Management, Route/Network Building, Set Collection",12418,"Trains, Transportation, Travel",Alan R. Moon,1.994
110,111,128621,Viticulture,2,6,90.0,90,90,2013.0,7.71104,7.39768,7001,13.0,"Hand Management, Worker Placement",6927,"Economic, Farming","Jamey Stegmaier, Alan Stone",2.9332
111,112,215,Tichu,4,4,60.0,60,60,1991.0,7.60161,7.39346,11117,10.0,"Betting/Wagering, Hand Management, Partnerships, Trick-taking",16385,Card Game,Urs Hostettler,2.3438
112,113,188,Go,2,2,105.0,30,180,-2200.0,7.66016,7.39267,12188,8.0,Area Enclosure,16369,Abstract Strategy,(Uncredited),3.9759
114,115,10630,Memoir '44,2,8,45.0,30,60,2004.0,7.53824,7.39056,20605,8.0,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Grid Movement, Hand Management, Modular Board, Simulation",26032,"Miniatures, Wargame, World War II",Richard Borg,2.277
115,116,182874,Grand Austria Hotel,2,4,90.0,60,120,2015.0,7.77846,7.38621,5493,12.0,"Dice Rolling, Hand Management, Set Collection",7071,Economic,"Virginio Gigli, Simone Luciani",3.2247
116,117,129437,Legendary: A Marvel Deck Building Game,1,5,45.0,45,45,2012.0,7.62628,7.38297,14417,14.0,"Co-operative Play, Deck / Pool Building",21955,"Card Game, Comic Book / Strip",Devin Low,2.4703
118,119,9209,Ticket to Ride,2,5,45.0,30,60,2004.0,7.47009,7.37214,52995,8.0,"Card Drafting, Hand Management, Route/Network Building, Set Collection",67578,"Trains, Travel",Alan R. Moon,1.8722
119,120,172287,Champions of Midgard,2,4,75.0,60,90,2015.0,7.7794,7.36635,5448,10.0,"Dice Rolling, Set Collection, Worker Placement",8639,"Adventure, Dice, Fantasy, Fighting, Medieval, Mythology",Ole Steiness,2.527
120,121,154203,Imperial Settlers,1,4,67.5,45,90,2014.0,7.53711,7.36451,14466,10.0,"Card Drafting, Hand Management, Take That, Variable Player Powers",19677,"Ancient, Card Game, City Building, Civilization",Ignacy Trzewiczek,2.7702
121,122,20551,Shogun,3,5,150.0,150,150,2006.0,7.5693,7.35941,11078,12.0,"Action / Movement Programming, Area Control / Area Influence, Area Movement, Auction/Bidding, Simultaneous Action Selection, Variable Phase Order",11127,"Economic, Medieval, Territory Building",Dirk Henn,3.3739
122,123,31481,Galaxy Trucker,2,4,60.0,60,60,2007.0,7.46206,7.35603,22583,10.0,"Dice Rolling, Partnerships, Tile Placement",23138,"Humor, Real-time, Science Fiction, Space Exploration, Transportation",Vlaada Chvátil,2.3208
123,124,146439,BattleLore (Second Edition),2,2,67.5,45,90,2013.0,7.89836,7.3523,4115,14.0,"Campaign / Battle Card Driven, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",7099,"Dice, Fantasy, Miniatures, Wargame","Richard Borg, Robert A. Kouba",2.7818
124,125,101721,Mage Wars Arena,2,2,90.0,90,90,2012.0,7.76094,7.35196,6365,13.0,"Dice Rolling, Grid Movement, Simultaneous Action Selection, Variable Player Powers",11043,"Card Game, Fantasy, Fighting","Bryan Pope, Benjamin Pope",3.6276
125,126,234,Hannibal: Rome vs. Carthage,2,2,120.0,40,200,1996.0,7.82507,7.35183,4412,12.0,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Simulation",6817,"Ancient, Political, Wargame",Mark Simonitch,3.4112
126,127,155821,Inis,2,4,75.0,60,90,2016.0,7.82065,7.34933,5082,14.0,"Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Modular Board, Tile Placement, Variable Phase Order",7555,"Ancient, Card Game, Miniatures, Mythology",Christian Martinez,2.9394
127,128,54998,Cyclades,2,5,75.0,60,90,2009.0,7.54177,7.34803,13394,13.0,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Dice Rolling, Set Collection, Variable Phase Order",14396,"Ancient, City Building, Civilization, Fighting, Miniatures, Mythology, Nautical","Bruno Cathala, Ludovic Maublanc",2.828
128,129,7854,YINSH,2,2,45.0,30,60,2003.0,7.68973,7.34774,5808,9.0,"Grid Movement, Pattern Building",7221,Abstract Strategy,Kris Burm,2.7264
129,130,140620,Lewis & Clark,1,5,120.0,120,120,2013.0,7.55999,7.34696,9714,14.0,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement, Worker Placement",11941,"American West, Racing",Cédrick Chaboussit,3.3179
130,131,22545,Age of Empires III: The Age of Discovery,2,5,105.0,90,120,2007.0,7.57652,7.34544,9129,10.0,"Area Control / Area Influence, Set Collection, Worker Placement",7761,"Civilization, Exploration, Renaissance, Video Game Theme",Glenn Drover,3.1305
131,132,97207,Dungeon Petz,2,4,90.0,90,90,2011.0,7.56239,7.34428,9543,13.0,"Auction/Bidding, Hand Management, Worker Placement",12786,"Animals, Fantasy, Humor",Vlaada Chvátil,3.5465
132,133,12,Ra,2,5,52.5,45,60,1999.0,7.47106,7.34142,16200,12.0,"Auction/Bidding, Press Your Luck, Set Collection",15337,"Ancient, Mythology",Reiner Knizia,2.3523
133,134,93260,Summoner Wars: Master Set,2,4,30.0,30,30,2011.0,7.59092,7.34031,9170,9.0,"Dice Rolling, Grid Movement, Hand Management, Variable Player Powers",11906,"Card Game, Fantasy, Fighting",Colby Dauch,2.5176
134,135,24181,Imperial,2,6,150.0,120,180,2006.0,7.62285,7.33865,7437,13.0,"Area Control / Area Influence, Area Movement, Stock Holding",6360,"Economic, Nautical, Political",Mac Gerdts,3.5759
135,136,59294,Runewars,2,4,210.0,180,240,2010.0,7.69094,7.33219,6806,14.0,"Area Control / Area Influence, Area Movement, Auction/Bidding, Modular Board, Simultaneous Action Selection, Variable Player Powers",8830,"Adventure, Fantasy, Fighting, Wargame",Corey Konieczka,3.7563
136,137,822,Carcassonne,2,5,37.5,30,45,2000.0,7.4329,7.33005,73890,8.0,"Area Control / Area Influence, Tile Placement",103656,"City Building, Medieval, Territory Building",Klaus-Jürgen Wrede,1.9333
137,138,38453,Space Alert,1,5,30.0,30,30,2008.0,7.50776,7.32939,12580,12.0,"Action / Movement Programming, Area Movement, Co-operative Play, Hand Management, Simultaneous Action Selection",17089,"Electronic, Real-time, Science Fiction, Space Exploration",Vlaada Chvátil,2.9351
138,139,193037,Dead of Winter: The Long Night,2,5,90.0,60,120,2016.0,7.93856,7.32538,3763,14.0,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Press Your Luck, Storytelling, Variable Player Powers, Voting",9954,"Bluffing, Deduction, Horror, Mature / Adult, Science Fiction, Zombies","Jonathan Gilmour, Isaac Vega",3.4516
140,141,181304,Mysterium,2,7,42.0,42,42,2015.0,7.48298,7.32139,16638,10.0,"Co-operative Play, Hand Management, Pattern Recognition",25337,"Deduction, Murder/Mystery, Party Game","Oleksandr Nevskiy, Oleg Sidorenko",1.9256
141,142,19857,Glory to Rome,2,5,60.0,60,60,2005.0,7.49479,7.3202,11335,12.0,"Card Drafting, Hand Management, Set Collection, Variable Phase Order",12603,"Ancient, Card Game, City Building, Economic","Ed Carter, Carl Chudyk",2.9241
142,143,127060,Bora Bora,2,4,90.0,60,120,2013.0,7.58959,7.31995,7092,12.0,"Dice Rolling, Set Collection, Worker Placement",9747,Dice,Stefan Feld,3.7422
143,144,118048,Targi,2,2,60.0,60,60,2012.0,7.60421,7.31624,6869,12.0,"Modular Board, Set Collection, Worker Placement",9720,"Arabian, Card Game",Andreas Steiger,2.3849
144,145,172818,Above and Below,2,4,90.0,90,90,2015.0,7.61135,7.31437,7357,13.0,"Action Point Allowance System, Card Drafting, Deck / Pool Building, Dice Rolling, Set Collection, Storytelling, Trading",11588,"Adventure, Book, City Building, Economic, Exploration, Fantasy, Farming, Negotiation",Ryan Laukat,2.5474
145,146,192291,Sushi Go Party!,2,8,20.0,20,20,2016.0,7.61792,7.31396,7613,8.0,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection",15192,"Card Game, Party Game",Phil Walker-Harding,1.2966
146,147,48726,Alien Frontiers,2,4,90.0,90,90,2010.0,7.48321,7.31147,12102,13.0,"Area Control / Area Influence, Card Drafting, Dice Rolling, Worker Placement",12361,"Dice, Science Fiction",Tory Niemann,2.5703
147,148,176494,Isle of Skye: From Chieftain to King,2,5,40.0,30,50,2015.0,7.49928,7.31104,11505,8.0,"Auction/Bidding, Set Collection, Tile Placement",15455,"Economic, Territory Building","Andreas Pelikan, Alexander Pfister",2.2542
148,149,27708,1960: The Making of the President,2,2,90.0,90,90,2007.0,7.58694,7.31017,7395,12.0,"Area Control / Area Influence, Campaign / Battle Card Driven, Hand Management",8667,Political,"Christian Leonhard, Jason Matthews",3.1987
149,150,108745,Seasons,2,4,60.0,60,60,2012.0,7.45704,7.30621,15449,14.0,"Card Drafting, Dice Rolling, Hand Management, Take That",18756,"Card Game, Dice, Fantasy",Régis Bonnessée,2.7677
151,152,463,Magic: The Gathering,2,2,20.0,20,20,1993.0,7.44588,7.30086,24815,13.0,"Hand Management, Player Elimination, Take That",27375,"Card Game, Collectible Components, Fantasy, Fighting",Richard Garfield,3.1584
152,153,82222,Xia: Legends of a Drift System,3,5,120.0,60,180,2014.0,7.83801,7.29953,4178,12.0,"Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver, Roll / Spin and Move, Tile Placement, Variable Player Powers",6671,"Adventure, Exploration, Fighting, Miniatures, Science Fiction, Space Exploration, Transportation",Cody Miller,3.1202
